phone_no,customer_segment,gender,number_of_children,income,marital_status,owns_vehicle,age_of_vehicle,vehicle_type,value_of_vehicle,accomodation_status_rented_own,owns_house,age_of_house,value_of_house,occupation,credit_score,customer_transactions_using_mobile_banking,customer_transactions_using_internet_banking,customer_transactions_using_mobile_wallet,length_of_the_customer’s_relationship_with_the_bank,educational_status,home_city_or_province,age,employed_or_business,address_type_permanent_temporary,date_of_card_issue,spending_on_credit_card_in_jan,spending_on_credit_card_in_feb,spending_on_credit_card_in_mar,spending_on_credit_card_in_apr,spending_on_credit_card_in_may,spending_on_credit_card_in_june,spending_on_credit_card_in_july,spending_on_credit_card_in_aug,spending_on_credit_card_in_sep,spending_on_credit_card_in_oct,spending_on_credit_card_in_nov,spending_on_credit_card_in_dec,transactions_jan,transactions_feb,transactions_mar,transactions_apr,transactions_may,transactions_june,transactions_july,transactions_aug,transactions_sep,transactions_oct,transactions_nov,transactions_dec,max_transaction_amount,category_of_max_number_of_transaction,category_of_max_spend_amount,atm_transaction_amount_yearly,no_of_atm_transaction_yearly,account_id
372-338-3314,gold,male,5,92682.3,married,yes,12.0,car,572320.0,own,yes,10.0,67459341.0,politician,685,83,80,55,12,High school,Kumanovo,44,business,temporary,4/17/2019,12142.0,52942.0,62142.0,36583.0,50333.0,53532.0,19708.0,94767.0,21904.0,46817.0,,,10,10,5,6,3,5,7,2,4,4,5,6,27875,travel,food,722908,7,100000000177
917-616-6388,gold,male,3,67876.69,married,yes,5.0,bike,718991.0,rented,no,,,politician,407,76,12,76,14,High school,Dongxiang,37,business,temporary,4/30/2019,11688.0,55552.0,25349.0,92421.0,19014.0,39472.0,14443.0,53471.0,36414.0,45924.0,53762.0,50453.0,8,1,5,1,10,7,9,10,6,4,5,2,20494,tech,hobby,4622607,59,100000000178
173-280-5071,gold,male,4,43129.92,married,no,,bike,,rented,no,,,farmer,579,53,13,78,6,High school,Nawābganj,37,employed,temporary,4/30/2019,29425.0,99258.0,51640.0,16624.0,86488.0,,21626.0,16154.0,11854.0,65750.0,26094.0,29331.0,8,5,10,7,6,7,9,10,4,7,3,4,28248,travel,hospital,2271355,73,100000000179
470-969-3558,gold,female,1,98522.9,married,no,,car,,rented,no,,,unskilled_labour,289,96,16,90,5,High school,Trpinja,48,business,permanent,6/16/2019,29436.0,,88874.0,,51944.0,65042.0,12425.0,,99480.0,53489.0,22287.0,48705.0,10,2,2,5,1,2,9,8,7,9,7,7,28384,hobby,food,4697786,84,100000000180
483-531-0346,gold,female,1,82826.59,married,no,,bike,,rented,no,,,pilot,273,30,64,16,6,High school,Aykol,43,employed,permanent,4/23/2019,66344.0,87996.0,80458.0,69862.0,94874.0,22588.0,91190.0,13034.0,43685.0,49473.0,20558.0,91873.0,6,9,5,9,9,7,3,9,9,4,1,5,24326,tech,food,909614,47,100000000181
592-105-0568,silver,male,0,77676.7,married,yes,11.0,bike,664026.0,own,yes,22.0,68506089.0,driver,541,58,29,68,5,Degree,Privolzhsk,33,business,temporary,4/22/2019,18847.0,53062.0,,13564.0,82074.0,49610.0,,,43684.0,67241.0,57594.0,,8,8,6,10,5,10,8,6,9,8,5,5,25937,leisure,hospital,262108,10,100000000182
612-876-4991,gold,female,3,59107.82,married,no,,bike,,own,yes,7.0,98029027.0,engineer,597,52,20,82,9,Degree,Paniówki,27,employed,temporary,3/30/2019,,,90087.0,88546.0,42092.0,97935.0,43429.0,44593.0,,,22524.0,93171.0,10,10,7,3,10,10,10,9,3,7,2,1,25433,others,hospital,9854462,43,100000000183
328-836-4446,gold,female,3,80678.67,married,yes,10.0,bike,323015.0,rented,no,,,nurse,673,71,7,37,14,High school,Niedźwiada,58,employed,permanent,4/25/2019,91183.0,36552.0,83239.0,87821.0,84410.0,80124.0,,15611.0,44103.0,49417.0,,,9,6,10,10,3,2,8,4,9,8,3,7,24192,food,food,1616638,54,100000000184
157-578-2590,silver,female,0,96093.83,married,yes,4.0,car,635976.0,rented,no,,,technicians,333,67,83,44,14,High school,Adelaide Mail Centre,38,business,permanent,5/26/2019,23962.0,,23988.0,97010.0,,68161.0,99597.0,62520.0,59741.0,87174.0,,90356.0,9,8,6,1,2,1,4,9,2,1,9,4,26247,travel,food,5483157,57,100000000185
138-779-0538,gold,male,0,72586.99,married,yes,6.0,bike,974365.0,own,yes,13.0,71614995.0,technicians,614,82,52,38,7,Degree,Luangwa,42,business,temporary,3/7/2019,,13693.0,34611.0,35735.0,52110.0,27514.0,86458.0,33398.0,12176.0,35868.0,98476.0,82497.0,5,4,7,3,8,7,10,3,5,4,3,9,20763,tech,tech,9064845,100,100000000186
644-685-8555,silver,male,3,49300.88,married,yes,7.0,car,183822.0,own,yes,10.0,77814098.0,teacher,369,21,57,87,7,High school,‘Izrā,29,employed,temporary,5/9/2019,94457.0,60826.0,53625.0,,29938.0,82409.0,42877.0,61426.0,23477.0,47257.0,69207.0,53362.0,6,5,7,1,2,7,8,4,8,10,4,8,23020,travel,food,8175398,1,100000000187
906-671-6335,gold,male,2,12848.24,unmarried,yes,11.0,bike,651150.0,rented,no,,,technicians,782,81,88,98,10,High school,Toyós,55,business,permanent,3/13/2019,63769.0,41907.0,98720.0,37902.0,25883.0,13437.0,98564.0,38273.0,38144.0,50160.0,42831.0,48034.0,7,8,10,1,7,5,2,8,6,6,3,10,27505,travel,others,676975,60,100000000188
398-711-3215,gold,male,5,17580.15,unmarried,yes,6.0,bike,784264.0,own,yes,22.0,17658245.0,engineer,374,44,25,93,9,Degree,Denver,58,employed,temporary,6/17/2019,12116.0,65872.0,33159.0,60711.0,48519.0,93338.0,,24286.0,51838.0,69896.0,87386.0,,5,6,10,9,10,5,2,5,10,8,8,5,28883,travel,food,5873132,81,100000000189
617-737-1935,silver,female,1,86336.29,unmarried,yes,2.0,car,240872.0,own,yes,10.0,54693865.0,doctor,454,97,38,66,14,Degree,Yalkhoy-Mokhk,57,employed,permanent,6/12/2019,58737.0,92808.0,44261.0,,98654.0,67723.0,47089.0,95533.0,,19698.0,38984.0,12567.0,10,4,3,3,7,2,2,2,1,4,6,9,23786,tech,leisure,6990768,50,100000000190
991-720-7916,silver,female,4,63282.05,unmarried,no,,car,,rented,no,,,driver,458,21,93,68,6,Degree,Maswarah,29,employed,permanent,6/28/2019,19007.0,,86685.0,91448.0,,14271.0,38239.0,,64002.0,80441.0,15578.0,81971.0,7,2,7,1,3,7,1,4,2,9,4,6,21689,leisure,food,4478011,58,100000000191
339-553-2620,gold,female,3,90694.04,married,yes,6.0,bike,126186.0,own,yes,22.0,66728456.0,teacher,462,53,51,92,13,Degree,Talon,35,employed,permanent,5/8/2019,11874.0,39094.0,27349.0,99776.0,91517.0,91971.0,28907.0,47641.0,43187.0,92096.0,89519.0,88453.0,7,6,9,10,9,5,5,3,6,4,1,2,22842,food,leisure,3065915,88,100000000192
185-830-7991,silver,male,3,15231.66,unmarried,no,,bike,,rented,no,,,firefighter,318,35,38,37,12,Degree,Villa Dolores,45,business,permanent,5/10/2019,47515.0,30090.0,98341.0,49757.0,64914.0,,48531.0,64536.0,,60444.0,27052.0,52825.0,9,6,9,2,4,6,7,9,4,8,4,4,27298,hobby,others,496047,33,100000000193
859-534-6400,gold,male,5,40811.43,married,yes,11.0,car,421784.0,rented,no,,,farmer,730,97,36,6,11,High school,Aga,40,employed,temporary,5/13/2019,,98680.0,36239.0,27780.0,,13037.0,,15933.0,39446.0,,36226.0,21190.0,8,5,10,4,4,2,4,10,2,5,6,3,22205,travel,others,9311155,12,100000000194
134-317-1848,silver,male,4,38363.81,married,no,,bike,,rented,no,,,shop_owner,569,18,68,78,15,High school,Nor Gyugh,38,business,permanent,5/1/2019,43120.0,30671.0,55272.0,65737.0,28448.0,59614.0,85230.0,59707.0,50031.0,25237.0,96879.0,,5,8,8,2,8,4,3,3,5,8,7,1,26140,others,hobby,7320598,64,100000000195
951-959-6683,silver,female,0,11801.82,married,no,,bike,,own,yes,12.0,21358629.0,farmer,680,67,58,65,14,High school,General Levalle,56,employed,permanent,6/2/2019,84098.0,94472.0,49634.0,97601.0,28375.0,27670.0,13621.0,95258.0,96579.0,88320.0,58584.0,17650.0,10,7,3,9,8,6,8,5,10,2,4,4,29300,others,food,8083642,81,100000000196
761-983-6635,gold,male,0,55755.76,married,no,,car,,rented,no,,,politician,321,93,44,69,11,High school,Lékhaio,59,business,temporary,4/16/2019,66762.0,61190.0,60821.0,30745.0,,50679.0,85179.0,40597.0,24619.0,41302.0,56600.0,21016.0,10,6,7,9,5,1,9,3,2,4,1,1,28313,others,food,347705,62,100000000197
285-679-4575,silver,male,0,22932.21,married,yes,5.0,car,577356.0,rented,no,,,politician,800,73,9,90,9,High school,Kaiama,28,business,permanent,3/20/2019,80079.0,89367.0,,53996.0,96939.0,34346.0,64966.0,55942.0,17971.0,39683.0,89888.0,34272.0,6,3,2,2,7,2,5,9,5,9,4,5,25328,others,travel,4990121,88,100000000198
646-983-6859,silver,male,4,28987.18,married,no,,car,,own,yes,6.0,31020959.0,shop_owner,836,83,80,87,10,High school,Xinzhai,43,business,temporary,5/26/2019,43740.0,80203.0,88464.0,20542.0,25459.0,60670.0,39981.0,27297.0,95996.0,87163.0,53445.0,24471.0,8,5,9,10,5,9,4,9,4,3,6,5,29610,leisure,tech,5412136,95,100000000199
981-833-3104,silver,male,3,96927.52,married,no,,car,,rented,no,,,engineer,696,60,97,42,2,Degree,Genting,45,employed,permanent,5/28/2019,52074.0,32283.0,94326.0,10985.0,87822.0,33939.0,56630.0,42638.0,,69925.0,56448.0,19244.0,8,9,5,8,6,3,1,4,6,10,5,9,26809,others,travel,4368597,3,100000000200
173-945-4936,silver,male,4,24510.84,unmarried,no,,bike,,rented,no,,,unskilled_labour,755,18,68,48,3,High school,Makapanstad,29,business,temporary,6/7/2019,25614.0,90934.0,,41892.0,36548.0,35047.0,57928.0,15687.0,99923.0,24983.0,21832.0,,10,7,7,5,8,1,7,8,3,5,10,7,25378,others,hobby,9532092,30,100000000201
491-641-1890,silver,female,1,48465.7,unmarried,yes,1.0,car,130451.0,own,yes,16.0,9828593.0,teacher,490,70,98,49,13,High school,Sangzhen,54,business,temporary,6/10/2019,94647.0,,32673.0,,61361.0,,24614.0,16588.0,37957.0,40207.0,37459.0,25793.0,5,8,10,4,8,4,7,3,5,10,8,2,20636,tech,others,4004699,35,100000000202
914-551-1574,gold,female,1,41468.86,married,no,,car,,rented,no,,,nurse,405,36,67,18,12,High school,Jijiang,51,employed,permanent,5/16/2019,,88036.0,80148.0,17663.0,54326.0,34514.0,51057.0,27056.0,20652.0,16061.0,91256.0,95716.0,3,3,5,5,8,10,4,4,3,5,1,2,23104,leisure,others,7933931,99,100000000203
299-409-3401,gold,female,2,43934.69,unmarried,yes,10.0,car,670096.0,own,yes,6.0,79902243.0,engineer,406,85,46,93,8,Degree,Trondheim,41,employed,permanent,4/10/2019,36943.0,66573.0,80896.0,17722.0,88118.0,93650.0,48900.0,80756.0,18663.0,10661.0,86306.0,47260.0,1,2,2,5,9,7,1,7,3,4,3,5,21104,leisure,others,4789130,34,100000000204
459-901-2797,silver,male,1,66254.25,unmarried,yes,3.0,bike,802354.0,own,yes,11.0,25564456.0,technicians,446,27,61,18,1,Degree,Ruo,35,employed,permanent,3/26/2019,20492.0,67234.0,51664.0,52704.0,34414.0,40052.0,43944.0,57842.0,55942.0,45271.0,90173.0,32972.0,5,8,4,2,5,5,10,7,1,2,8,2,26732,hospital,hobby,4806379,49,100000000205
431-265-5181,gold,male,4,54588.11,unmarried,no,,car,,own,yes,17.0,41587106.0,doctor,748,78,27,44,13,Degree,Xiachu,54,employed,temporary,6/9/2019,33766.0,,52871.0,50922.0,,19782.0,16984.0,30985.0,37602.0,88263.0,23694.0,69298.0,10,2,4,8,4,1,4,4,9,8,4,4,24237,travel,leisure,9754509,95,100000000206
766-409-7234,gold,male,2,33310.18,unmarried,yes,8.0,car,172547.0,own,yes,1.0,55039842.0,teacher,309,76,15,27,5,High school,Bratislava,37,employed,permanent,5/12/2019,42624.0,82564.0,67765.0,88840.0,10883.0,47909.0,,26335.0,50622.0,28372.0,90984.0,81728.0,6,5,4,4,1,5,9,2,5,8,3,7,27944,tech,food,9124441,99,100000000207
971-948-6078,silver,female,4,43031.15,married,no,,car,,own,yes,11.0,65664095.0,nurse,776,84,46,28,6,High school,Alung,30,employed,permanent,6/26/2019,85933.0,42035.0,80991.0,34336.0,84404.0,30308.0,65768.0,27176.0,,96715.0,,99408.0,2,5,5,2,7,8,9,2,10,4,5,9,24835,food,food,195939,89,100000000208
679-158-0345,silver,male,3,91928.56,married,no,,bike,,rented,no,,,shop_owner,314,88,12,33,15,High school,Ochla,43,business,temporary,4/22/2019,41921.0,35143.0,,98118.0,15040.0,10341.0,46300.0,81924.0,27917.0,51305.0,88202.0,29488.0,7,3,8,7,10,3,8,4,8,6,9,9,22155,hospital,food,8525920,39,100000000209
887-901-6513,silver,female,4,19428.18,unmarried,no,,bike,,rented,no,,,politician,678,100,91,52,10,High school,Bořetice,57,business,temporary,6/19/2019,96293.0,86996.0,53929.0,34256.0,,29045.0,68440.0,95684.0,23753.0,59501.0,94654.0,95021.0,8,1,2,1,6,8,2,1,5,10,6,1,26907,travel,leisure,5662413,59,100000000210
772-801-0068,gold,female,4,98417.41,unmarried,no,,car,,own,yes,22.0,57200287.0,politician,304,55,2,39,8,High school,Baytā al Fawqā,57,business,permanent,4/12/2019,25734.0,17659.0,26350.0,54199.0,38363.0,14888.0,12411.0,46103.0,20552.0,50664.0,10148.0,18069.0,4,5,7,10,8,3,8,5,4,5,1,8,28952,hospital,food,8485697,78,100000000211
826-253-0673,silver,male,3,13573.73,unmarried,yes,5.0,car,502401.0,own,yes,2.0,32481320.0,firefighter,391,76,98,81,1,Degree,Manolo Fortich,52,business,temporary,4/27/2019,59402.0,23520.0,99728.0,80027.0,82319.0,60389.0,87992.0,25524.0,18921.0,83304.0,93519.0,30740.0,7,4,8,1,3,7,3,6,2,10,3,3,24266,tech,hobby,833186,66,100000000212
486-625-7699,gold,female,5,75813.52,married,yes,1.0,bike,628550.0,rented,no,,,politician,685,92,69,31,8,High school,Kadubadak,33,business,permanent,6/6/2019,58952.0,17017.0,55960.0,82615.0,20137.0,42603.0,87000.0,10879.0,88936.0,85893.0,24147.0,15167.0,10,10,9,3,2,3,7,9,5,1,2,5,26123,leisure,leisure,8441501,97,100000000213
382-865-9312,gold,female,5,51874.29,married,no,,bike,,rented,no,,,unskilled_labour,421,30,88,5,2,High school,El Perico,56,business,permanent,3/13/2019,,63969.0,28925.0,50232.0,49105.0,85328.0,12377.0,99686.0,28355.0,47976.0,86605.0,45121.0,1,5,6,10,2,2,6,5,5,6,4,10,22370,hobby,others,961236,46,100000000214
992-962-2675,gold,male,1,94263.9,married,yes,1.0,bike,481683.0,rented,no,,,teacher,270,68,35,55,5,Degree,Aviá Terai,31,business,permanent,3/12/2019,60067.0,14747.0,10694.0,88563.0,52189.0,,45707.0,68606.0,64860.0,82252.0,59448.0,91246.0,4,10,1,2,1,10,10,1,1,7,10,2,27670,travel,leisure,5051845,82,100000000215
997-668-3353,silver,female,3,94128.5,married,yes,5.0,car,873448.0,rented,no,,,shop_owner,691,19,100,88,15,High school,Berea,30,business,temporary,6/22/2019,59600.0,12613.0,94516.0,66675.0,94562.0,42925.0,56719.0,93267.0,54004.0,10501.0,28343.0,32403.0,10,2,8,8,4,4,4,6,10,1,1,6,27821,food,hospital,4480542,27,100000000216
799-228-4292,silver,male,4,52230.58,married,yes,12.0,car,420729.0,own,yes,16.0,52952841.0,teacher,605,65,40,34,15,Degree,Aranyaprathet,55,business,temporary,4/4/2019,,,31374.0,22378.0,65093.0,37585.0,22005.0,25217.0,17350.0,55883.0,80887.0,25947.0,8,1,5,5,10,3,2,1,10,8,2,5,23314,hospital,travel,4414195,73,100000000217
500-210-1256,gold,female,3,61571.49,married,yes,7.0,bike,406151.0,rented,no,,,doctor,661,72,87,28,12,Degree,Korenëvo,39,employed,permanent,6/5/2019,81175.0,31120.0,50836.0,35489.0,33711.0,87226.0,29606.0,49188.0,28611.0,68553.0,30799.0,12905.0,5,2,7,8,9,5,5,1,1,4,1,8,27052,travel,hospital,8411374,14,100000000218
980-439-1796,gold,female,3,61265.35,unmarried,yes,2.0,bike,435267.0,own,yes,2.0,30044650.0,technicians,341,57,76,76,9,Degree,Moca,59,business,permanent,3/9/2019,18304.0,87126.0,93954.0,36341.0,60238.0,12147.0,50408.0,53862.0,35222.0,87030.0,,61208.0,3,3,3,6,6,4,2,5,5,10,5,8,22548,travel,travel,4407532,62,100000000219
665-954-1651,gold,female,5,66275.28,unmarried,no,,bike,,own,yes,18.0,50523414.0,pilot,624,79,98,8,13,Degree,Usukhchay,47,employed,temporary,6/1/2019,86047.0,38756.0,,,84453.0,,64722.0,89528.0,99472.0,50120.0,82094.0,86857.0,6,7,8,9,4,5,3,4,5,1,3,5,28652,food,tech,2427659,25,100000000220
409-836-5121,silver,female,5,47859.22,unmarried,no,,bike,,rented,no,,,shop_owner,713,82,18,98,14,High school,Airdrie,31,business,temporary,4/30/2019,36316.0,54485.0,84980.0,44117.0,16611.0,13220.0,31453.0,46792.0,28222.0,29154.0,84883.0,25783.0,8,3,2,6,8,3,9,2,5,6,8,2,29887,hobby,hospital,6564620,45,100000000221
832-367-1807,silver,female,5,77304.95,unmarried,yes,9.0,car,699568.0,rented,no,,,teacher,474,71,32,23,4,Degree,Kabūdarāhang,29,business,temporary,3/25/2019,21135.0,26487.0,20686.0,35574.0,16936.0,82370.0,80025.0,80050.0,55290.0,88178.0,30074.0,11243.0,4,4,1,4,1,1,7,3,1,5,8,5,29125,hospital,tech,2358547,48,100000000222
706-654-4143,gold,female,5,99331.57,unmarried,yes,12.0,car,650456.0,rented,no,,,driver,790,30,41,10,12,High school,Xiangying,54,employed,permanent,5/31/2019,15519.0,59987.0,23426.0,83290.0,83363.0,,29781.0,64205.0,30616.0,56734.0,,,8,6,1,6,10,5,4,7,4,2,8,9,29468,hobby,others,8213047,46,100000000223
670-236-1489,gold,male,3,66711.9,married,yes,10.0,bike,446751.0,rented,no,,,firefighter,837,14,97,59,2,Degree,Ciawi,56,business,temporary,5/13/2019,94615.0,55714.0,96661.0,81779.0,15893.0,24341.0,55608.0,95868.0,26299.0,84203.0,,58948.0,10,9,5,10,7,1,4,5,3,8,5,1,28343,hospital,hospital,4096924,27,100000000224
917-850-1137,gold,female,0,43210.76,married,no,,bike,,rented,no,,,shop_owner,378,37,13,88,1,High school,Tilmi,59,business,permanent,3/22/2019,63311.0,40960.0,,90364.0,83608.0,56893.0,83760.0,55720.0,,90974.0,58467.0,48404.0,5,4,3,9,7,1,4,8,10,9,1,8,29779,tech,tech,9725665,31,100000000225
398-655-1286,gold,male,3,95803.29,married,yes,4.0,bike,684326.0,own,yes,19.0,68695431.0,shop_owner,709,3,96,94,7,High school,Boychinovtsi,38,business,temporary,6/4/2019,56504.0,,44857.0,,45514.0,12809.0,,46947.0,99788.0,63175.0,52003.0,40721.0,1,6,5,5,3,2,1,1,7,5,9,5,29144,hospital,food,1267410,3,100000000226
707-716-3770,silver,male,4,85576.84,unmarried,yes,8.0,car,292164.0,own,yes,21.0,58903127.0,engineer,379,51,94,90,5,Degree,Cileuya,45,employed,permanent,6/11/2019,92261.0,96035.0,42061.0,22387.0,18809.0,,36005.0,93956.0,33682.0,10314.0,84505.0,86299.0,1,4,8,10,2,3,1,5,5,3,4,5,25453,tech,food,698479,62,100000000227
571-464-7721,silver,female,3,14696.07,unmarried,no,,bike,,own,yes,9.0,55898932.0,driver,437,72,12,47,11,Degree,Jinrui,35,employed,permanent,5/1/2019,95497.0,36937.0,82397.0,41780.0,95657.0,32126.0,80054.0,93035.0,88814.0,31248.0,61775.0,31474.0,5,3,3,5,4,1,4,9,9,10,6,4,21288,hobby,leisure,275094,43,100000000228
337-183-5453,gold,male,2,62696.43,married,no,,car,,own,yes,21.0,83468379.0,technicians,592,11,69,48,7,Degree,Straszyn,29,business,temporary,6/25/2019,63385.0,52973.0,41982.0,44990.0,,34794.0,37184.0,86152.0,90740.0,96638.0,85170.0,,6,4,5,6,7,9,1,10,4,5,1,5,29036,hobby,tech,2954663,26,100000000229
259-275-2149,silver,male,5,68935.92,married,yes,3.0,car,294069.0,own,yes,4.0,28117521.0,teacher,545,24,49,87,12,Degree,Vishnyeva,57,employed,temporary,6/2/2019,63825.0,15851.0,21306.0,,86305.0,64218.0,48597.0,89870.0,,,13018.0,49395.0,2,10,8,2,2,8,7,10,2,2,7,9,20718,travel,hobby,6438597,63,100000000230
702-558-9216,gold,female,0,22594.79,married,yes,8.0,bike,987767.0,rented,no,,,driver,605,47,89,13,15,Degree,Sankui,60,business,temporary,5/18/2019,82279.0,20449.0,26744.0,55985.0,30606.0,98152.0,29554.0,23961.0,38041.0,40017.0,80968.0,33894.0,5,7,10,6,2,8,9,6,7,5,10,3,22497,leisure,others,5450346,26,100000000231
559-593-8543,silver,female,1,87897.48,unmarried,yes,10.0,bike,476663.0,own,yes,10.0,78216722.0,technicians,700,53,96,59,2,High school,Gegernoong,42,business,permanent,3/12/2019,25176.0,60886.0,85602.0,42149.0,17099.0,22426.0,96115.0,13734.0,91984.0,50987.0,97781.0,43532.0,4,9,6,2,8,4,10,3,3,8,4,6,29310,hospital,leisure,2323375,31,100000000232
929-684-7090,gold,male,3,61786.25,unmarried,no,,car,,own,yes,19.0,42682549.0,engineer,450,85,31,2,6,Degree,Kafue,33,employed,temporary,6/9/2019,23759.0,82815.0,68724.0,41682.0,12297.0,60342.0,67739.0,41056.0,19717.0,,55315.0,,1,5,1,6,10,1,5,2,5,10,3,4,27218,leisure,leisure,7384708,56,100000000233
453-397-2758,silver,female,3,22394.28,unmarried,yes,11.0,car,355231.0,own,yes,19.0,69897966.0,teacher,360,69,43,77,14,High school,Qinggou,28,employed,permanent,4/25/2019,99275.0,40355.0,80198.0,91946.0,32904.0,44490.0,15994.0,45504.0,99605.0,14613.0,84604.0,,6,3,9,10,2,4,10,1,9,10,4,5,20479,others,leisure,1026420,28,100000000234
841-342-8090,gold,male,0,46377.72,married,yes,9.0,bike,262666.0,rented,no,,,teacher,288,60,68,83,13,Degree,Gambiran,50,business,permanent,5/16/2019,19593.0,36219.0,53627.0,33396.0,52893.0,38384.0,53808.0,40122.0,35009.0,23642.0,31218.0,89271.0,7,1,1,10,10,4,5,8,4,6,10,9,21253,food,hospital,9303608,96,100000000235
288-600-3010,silver,female,1,26695.46,married,yes,12.0,bike,424972.0,own,yes,2.0,55609123.0,unskilled_labour,757,20,72,81,7,High school,Žrnovnica,39,business,permanent,6/4/2019,,16996.0,92488.0,11380.0,82335.0,49431.0,88063.0,67380.0,66102.0,26368.0,80334.0,65470.0,2,9,9,7,4,1,6,1,9,8,7,9,27800,hobby,hospital,9571930,5,100000000236
780-494-6086,gold,female,3,70440.02,unmarried,no,,car,,own,yes,11.0,96851645.0,engineer,461,4,24,92,12,Degree,Osh,33,employed,permanent,6/8/2019,18908.0,58597.0,30774.0,60790.0,,86642.0,49636.0,27279.0,,82317.0,80291.0,54173.0,10,2,7,3,9,3,6,10,3,3,1,4,25584,others,leisure,4138800,17,100000000237
420-721-1404,silver,female,0,69949.16,married,yes,3.0,bike,806690.0,own,yes,13.0,87811867.0,pilot,661,2,15,73,6,Degree,La Virgen,59,business,temporary,6/21/2019,,21508.0,24232.0,89334.0,53281.0,56745.0,80727.0,,62799.0,93707.0,55040.0,28680.0,10,1,7,4,3,6,6,6,8,6,3,8,22091,hobby,tech,1442786,92,100000000238
655-498-9371,gold,female,3,17715.36,unmarried,no,,bike,,own,yes,15.0,84021406.0,politician,353,76,37,40,15,High school,Tierp,53,business,permanent,5/23/2019,96134.0,83562.0,46541.0,30988.0,91416.0,23188.0,57410.0,43654.0,40010.0,97796.0,18901.0,65179.0,4,4,8,10,3,3,7,9,3,4,4,6,29938,leisure,travel,7523932,59,100000000239
867-277-5148,silver,male,2,83052.42,married,no,,bike,,own,yes,18.0,67877439.0,shop_owner,493,7,12,38,9,High school,Fenghua,53,business,permanent,5/3/2019,63051.0,39480.0,21369.0,17358.0,,18447.0,99008.0,20224.0,13562.0,53012.0,39401.0,65699.0,4,3,5,4,6,6,10,1,7,8,3,9,27717,leisure,hospital,7431681,82,100000000240
880-610-8285,silver,male,3,72850.33,unmarried,no,,car,,own,yes,8.0,42682723.0,unskilled_labour,544,84,57,18,9,High school,Castelões,44,business,temporary,5/21/2019,66747.0,53297.0,49817.0,51582.0,82730.0,86995.0,35737.0,86285.0,94883.0,81529.0,21234.0,44976.0,4,2,10,3,8,8,2,3,8,5,9,3,24360,hospital,travel,8684370,9,100000000241
413-483-3295,gold,female,3,69170.56,married,yes,1.0,car,240046.0,rented,no,,,driver,639,62,94,87,14,Degree,Sakākā,41,business,permanent,4/27/2019,68415.0,30735.0,35626.0,45896.0,21594.0,38326.0,88609.0,51426.0,,24705.0,21128.0,82983.0,9,4,5,3,4,4,3,2,8,5,8,9,21214,hospital,others,4546516,21,100000000242
352-666-1367,silver,male,0,76539.33,married,no,,car,,rented,no,,,nurse,576,90,77,56,10,High school,Obiliq,48,employed,temporary,6/11/2019,82364.0,93183.0,99377.0,87479.0,92707.0,61536.0,64982.0,27470.0,21590.0,96430.0,68633.0,44511.0,2,5,4,2,9,1,9,4,7,4,5,10,20652,hospital,food,1107886,99,100000000243
522-392-6182,silver,female,4,79352.96,unmarried,no,,car,,own,yes,6.0,97081280.0,shop_owner,729,17,18,36,10,High school,Strängnäs,53,business,permanent,6/5/2019,,28606.0,92676.0,62499.0,20846.0,13064.0,24210.0,58165.0,39093.0,49832.0,19695.0,44694.0,6,1,5,10,10,6,1,7,6,2,2,3,20572,travel,tech,656397,95,100000000244
693-671-5475,gold,male,5,37763.15,unmarried,no,,bike,,rented,no,,,doctor,556,56,64,100,6,Degree,Kafr Mandā,56,employed,temporary,5/11/2019,40036.0,82386.0,64469.0,36227.0,12442.0,61463.0,27977.0,21554.0,26860.0,59528.0,20924.0,99698.0,9,7,4,6,10,6,8,6,2,8,6,3,22602,others,hospital,7527438,45,100000000245
355-398-2614,silver,female,4,69261.4,married,no,,bike,,rented,no,,,engineer,596,66,68,85,3,Degree,Bayān,48,employed,temporary,3/18/2019,24144.0,19986.0,31332.0,87614.0,12008.0,59275.0,33282.0,99188.0,29150.0,60457.0,,37759.0,4,2,9,1,10,1,10,5,6,5,3,6,27507,food,hospital,9210140,92,100000000246
275-891-7278,silver,female,0,79033.83,married,yes,12.0,car,636417.0,rented,no,,,technicians,519,84,91,10,3,Degree,Arcena,51,business,permanent,5/17/2019,94820.0,32432.0,28054.0,92010.0,42159.0,57069.0,,54771.0,,40901.0,21936.0,29523.0,4,4,10,6,7,6,8,5,8,10,1,2,27430,others,tech,9545936,56,100000000247
635-289-6892,silver,male,5,30661.81,unmarried,no,,bike,,rented,no,,,unskilled_labour,707,74,32,8,6,High school,Kanugrahan,47,business,temporary,3/31/2019,,89074.0,,52209.0,44856.0,69713.0,98435.0,80126.0,26106.0,84618.0,61812.0,86240.0,6,7,10,5,1,2,4,5,2,10,3,4,27625,tech,food,2590760,13,100000000248
904-511-6849,gold,female,1,72155.75,married,no,,car,,own,yes,8.0,97816102.0,pilot,782,57,18,24,7,High school,Águas,30,employed,temporary,4/22/2019,40470.0,20523.0,32472.0,81178.0,40313.0,86958.0,60381.0,,55414.0,34101.0,39622.0,48775.0,6,1,8,4,9,9,9,2,3,8,4,8,25803,tech,leisure,9344399,29,100000000249
